blue,green,red,label
36,27,231,0
36,84,250,1
37,164,255,2
22,205,255,3
38,223,221,4
29,214,148,5
0,181,76,6
13,156,0,7
92,166,0,8
184,191,0,9
200,136,1,10
198,76,0,11
180,38,51,12
181,22,72,13
140,17,57,14
38,27,237,0
50,100,244,1
30,143,247,2
36,195,255,3
0,242,254,4
65,195,132,5
73,183,77,6
75,169,51,7
182,184,10,8
205,144,70,9
166,87,60,10
162,81,90,11
157,69,99,12
128,33,108,13
110,23,73,14
37,28,238,0
36,103,242,1
17,198,248,2
28,237,245,3
50,210,180,4
65,195,132,5
73,183,77,6
73,170,52,7
107,180,34,8
182,184,10,9
205,144,70,10
166,82,56,11
162,81,90,12
157,69,99,13
131,44,70,14
35,29,236,0
37,104,243,1
18,197,248,2
28,237,245,3
50,210,180,4
65,195,132,5
73,183,77,6
73,169,51,7
106,178,34,8
182,185,9,9
200,144,73,10
164,84,55,11
162,81,90,12
157,69,99,13
131,44,70,14
32,20,255,0
27,83,255,1
0,165,254,2
8,203,253,3
1,225,220,4
0,215,110,5
0,183,1,6
0,153,0,7
84,166,0,8
185,192,1,9
204,139,1,10
203,74,1,11
185,33,52,12
167,12,73,13
145,8,62,14
24,23,241,0
13,103,244,1
0,198,250,2
0,239,246,3
25,212,180,4
55,197,130,5
67,185,72,6
67,170,43,7
104,181,16,8
183,185,2,9
207,143,65,10
166,82,54,11
164,78,90,12
159,65,99,13
133,41,70,14
37,28,238,0
36,103,242,1
18,197,248,2
28,237,245,3
50,210,180,4
65,195,132,5
77,183,76,6
73,169,51,7
107,180,34,8
182,185,9,9
205,144,70,10
164,84,55,11
162,81,90,12
157,69,99,13
131,44,70,14
46,30,191,0
39,43,216,1
51,90,229,2
31,146,250,3
68,179,252,4
39,230,221,5
62,200,142,6
75,192,67,7
117,182,43,8
160,167,2,9
196,160,30,10
189,117,29,11
145,57,43,12
98,34,39,14
24,23,241,0
13,103,244,1
0,198,250,2
0,239,246,3
25,212,180,4
55,197,130,5
67,185,72,6
67,170,43,7
104,181,16,8
181,183,0,9
207,143,65,10
166,82,54,11
164,78,90,12
159,65,99,13
133,41,70,14
24,23,241,0
13,103,244,1
0,198,250,2
0,239,246,3
25,212,180,4
55,197,130,5
67,185,72,6
67,170,43,7
104,181,16,8
182,184,0,9
207,143,65,10
166,82,54,11
164,78,90,12
159,65,99,13
133,41,70,14
58,0,219,0
38,78,227,1
20,161,236,2
0,235,251,3
0,218,181,4
1,189,123,5
1,179,60,6
0,159,0,7
92,169,1,8
185,185,1,9
202,133,0,10
223,79,0,11
196,58,40,12
189,46,79,13
143,32,64,14
24,23,241,0
13,103,244,1
0,198,250,2
0,239,246,3
25,212,180,4
55,197,130,5
67,185,72,6
67,170,43,7
104,181,16,8
182,184,0,9
207,143,65,10
166,82,54,11
164,78,90,12
159,65,99,13
133,41,70,14
26,0,224,0
1,76,222,1
0,123,219,2
0,209,249,3
0,250,245,4
0,253,183,5
21,224,143,6
34,214,19,7
206,206,0,8
251,148,15,9
248,91,17,10
244,54,19,11
241,20,58,12
200,1,63,13
173,0,62,14
23,39,135,0
24,38,168,1
30,27,213,2
33,32,228,3
29,126,240,4
6,192,240,5
30,203,173,6
73,183,77,7
59,137,0,8
182,184,10,9
205,144,70,10
166,103,82,11
146,47,55,12
118,17,25,13
70,16,29,14
36,27,231,0
36,84,250,1
37,164,255,2
21,203,255,3
38,223,221,4
29,214,148,5
0,181,76,6
13,156,0,7
90,166,1,8
184,190,1,9
198,136,0,10
198,76,0,11
180,37,52,12
181,22,72,13
140,17,57,14
42,44,98,0
46,63,150,1
43,44,184,2
28,37,218,3
40,82,219,4
25,120,230,5
0,193,232,6
0,245,255,7
124,220,184,8
39,195,131,9
70,143,70,10
107,145,69,11
194,124,1,12
122,70,33,13
111,22,41,14
1,0,103,0
0,0,154,1
1,0,204,2
0,51,255,3
0,102,255,4
0,153,254,5
0,204,255,6
1,255,255,7
0,255,204,8
0,204,102,9
52,205,0,10
102,153,1,11
153,101,0,12
204,51,0,13
154,0,1,14
24,23,241,0
13,103,244,1
0,196,250,2
0,239,246,3
25,212,180,4
55,197,130,5
67,185,72,6
67,170,43,7
104,181,16,8
182,184,0,9
207,143,65,10
166,82,54,11
164,78,90,12
159,65,99,13
133,41,70,14
0,0,170,1
0,0,254,2
0,85,255,3
1,170,255,4
102,255,255,5
1,255,170,6
1,170,0,7
255,168,0,8
212,0,0,9
254,0,255,10
141,0,212,11
109,42,109,12
85,0,85,13
84,0,55,14
28,34,241,0
7,106,244,1
1,201,248,2
0,238,245,3
2,212,182,4
39,197,131,5
61,183,75,6
63,169,46,7
101,181,28,8
181,186,0,9
209,143,65,10
168,81,55,11
167,80,90,12
160,68,97,13
136,40,70,14
0,38,255,1
0,124,255,2
1,170,255,3
0,211,255,4
1,252,255,5
119,251,211,6
0,250,141,7
0,211,168,8
121,184,98,9
146,146,0,10
168,167,99,11
209,126,58,12
198,68,179,13
142,43,111,14
